第一部分：题目
1. 中医学理论体系形成的标志是哪部著作的问世？
A. 《难经》
B. 《伤寒杂病论》
C. 《黄帝内经》
D. 《神农本草经》
E. 《诸病源候论》
2. 下列哪位医家被誉为“寒凉派”的代表人物？（助理不考）
A. 张从正
B. 李杲
C. 朱震亨
D. 刘完素
E. 吴有性
3.“阳病治阴”的治疗原则适用于下列哪种病证？
A. 实热证
B. 实寒证
C. 阳虚证
D. 阴虚证
E. 阴阳两虚证
4. 根据五行相生规律确立的“培土生金法”中，“土”和“金”分别对应的脏腑是？
A. 心与肺
B. 脾与肺
C. 肝与肺
D. 肾与肺
E. 脾与肾
5.“见肝之病，知肝传脾，当先实脾”的理论依据是五行之间的何种关系？
A. 相生
B. 相克
C. 相乘
D. 相侮E. 制化
6. 下列哪一项属于“症”的表现？
A. 感冒
B. 气虚感冒
C. 恶寒发热
D. 肺痈
E. 肝阳上亢
7. 被称为“五脏六腑之大主”的脏是？
A. 肝
B. 心
C. 脾
D. 肺
E. 肾
8. 肺的生理功能中，被称为“水之上源”的是因其具有何功能？
A. 主气司呼吸
B. 朝百脉
C. 主治节
D. 主行水
E. 主宣发
9. 脾的生理特性中，与“脾为生痰之源”密切相关的是？
A. 脾气主升
B. 喜燥恶湿
C. 主统血
D. 主运化水谷
E. 脾为孤脏
10.“肝肾同源”的生理基础主要是？
A. 精血同源
B. 藏泄互用
C. 阴阳互资
D. 津血同源E. 气血同源
11. 六腑共同的生理特点是？
A. 藏精气而不泻
B. 传化物而不藏
C. 满而不能实
D. 实而不能满
E. 贮藏精气
12. 被称为“中精之腑”的是？
A. 胃
B. 胆
C. 三焦
D. 小肠
E. 膀胱
13. 下列哪项不属于“奇恒之腑”？
A. 脑
B. 髓
C. 脉
D. 三焦
E. 女子胞
14. 宗气积聚之处被称为？
A. 丹田
B. 气街
C. 膻中
D. 命门
E. 膏肓
15. 具有“慓悍滑利”特性，行于脉外之气是？
A. 元气
B. 宗气
C. 营气
D. 卫气
